12:00 - Dejejum
Banana,125,g124,124
Aveia em flocos,30,g118,118
Coco,20,g71,71
Whey 3 Protein,30,g126,126
yakult,100,g51,51
Cal,490 Kcal

14:00 - Almoço
Arroz branco,125,g160,160
Feijao carioca,90,g68,68
Cenour,50,g43,43
Tomate,25,g4,4
Carne Bife,150,g186,186
Cal,461 Kcal

18:30 - Lanche da tarde
Tapioca de goma,15,g37,37
Ovo,3,u189,189
Patinho moida,120,g160,160
Tomate,25,g4,4
Mussarela,30,g85,85
Cal,475 Kcal

22:00 - Ceia
Banana,125,g124,124
Chocolate 70%,25,g245,245
Whey 3 Protein,30,g126,126
Coco,20,g71,71
Castanha,5,g77,77
Cal,643 Kcal

Calo,2069 Kcal
